City,Season,extreme_count,total_count,extreme_probability
Agartala,Summer,5,6624,0.0007548309178743961
Aizawl,Summer,6,6624,0.0009057971014492754
Delhi,Post_Monsoon,17,5760,0.002951388888888889
Delhi,Winter,87,6504,0.013376383763837638
Gurugram,Monsoon,20,10152,0.001970055161544523
Gurugram,Post_Monsoon,28,5760,0.004861111111111111
Gurugram,Summer,181,6624,0.02732487922705314
Gurugram,Winter,167,6504,0.02567650676506765
Kolkata,Post_Monsoon,17,5760,0.002951388888888889
Kolkata,Winter,86,6504,0.013222632226322263
Lucknow,Winter,7,6504,0.001076260762607626
Mumbai,Post_Monsoon,20,5760,0.003472222222222222
Mumbai,Summer,38,6624,0.005736714975845411
Mumbai,Winter,26,6504,0.003997539975399754
Patna,Post_Monsoon,4,5760,0.0006944444444444445
Patna,Winter,31,6504,0.004766297662976629
